User_cpu_0	User_cpu_1	User_cpu_2	User_cpu_3	User_cpu_4	User_cpu_5
200060	200056	200056	200052	200052	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200060	200052	200056	200056	200056	200052
200056	200056	200060	200052	200052	200056
200056	200056	200056	200060	200056	200056
200060	200056	200056	200052	200056	200064
200056	200052	200060	200052	200056	200056
200060	200056	200060	200060	200052	200052
200060	200056	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200056	200052	200056	200056	200056	200056
200060	200056	200056	200052	200052	200052
200056	200056	200060	200056	200056	200056
200060	200056	200060	200056	200056	200064
200060	200052	200056	200056	200056	200056
200056	200056	200060	200052	200052	200056
200056	200056	200056	200060	200056	200052
200060	200056	200056	200052	200056	200056
200056	200052	200060	200052	200056	200056
200060	200056	200060	200060	200052	200056
200060	200056	200056	200052	200056	200052
200056	200056	200060	200056	200056	200056
200056	200052	200056	200056	200056	200056
200060	200056	200056	200052	200052	200056
200056	200056	200060	200056	200056	200052
200060	200056	200060	200056	200056	200056
200060	200052	200056	200056	200056	200056
200056	200056	200060	200052	200052	200056
200056	200056	200056	200060	200056	200052
200060	200056	200056	200052	200056	200064
200056	200052	200060	200052	200056	200056
200060	200056	200060	200060	200052	200056
200060	200056	200056	200052	200056	200056
200056	200056	200060	200056	200056	200052
200056	206136	200056	200056	200056	200056
200060	200056	200056	200052	200052	200056
200056	200052	200060	200056	200056	200056
200060	200056	200060	200056	200056	200052
200060	200056	200056	200056	200056	200056
200056	200056	200060	200052	200052	200056
200056	200052	200056	200060	200056	200056
200060	200056	200056	200052	200056	200052
200056	200056	200060	200052	200056	200056
200060	200056	200060	200060	200052	200056
200060	200052	200056	200052	200056	200056
200056	200056	200060	200056	200056	200064
200056	200056	200056	200056	200056	200052
200060	200056	200056	200052	200052	200056
200056	200052	200060	200056	200056	200056
200060	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200052
200056	200056	200060	200052	200052	200056
200056	200052	200056	200060	200056	200056
200060	200056	200056	200052	200056	200056
200056	200056	200060	200052	200056	200052
200060	200056	200060	200060	205760	200056
200060	200052	200056	200052	200056	200056
200056	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200052
200060	200056	200056	200052	200056	200056
205816	200052	200060	200056	200052	200056
200056	200056	200060	200056	200056	200064
200056	200056	200056	200056	200056	200056
200060	200056	200060	200052	200056	200052
200060	200052	200056	200060	200052	200056
200056	200056	200056	200052	200056	200056
200060	200056	200060	200052	200056	200056
233004	200056	200060	200060	200056	200052
200104	200052	200056	200052	200052	200056
200060	200056	200060	200056	200056	200056
200056	200056	200056	200056	200056	200056
200056	200056	200056	200052	200056	200052
200060	200052	200060	200056	200052	200056
200056	200056	200060	200056	200056	200056
200060	200056	200056	200056	200056	200056
200060	200056	200060	200052	200056	200052
200056	200052	200056	200060	200052	200056
200056	200056	200056	200052	200056	200064
200060	200056	200060	200052	200056	200056
200060	200056	200060	200060	200056	200056
200056	200052	200056	200052	200052	200052
200060	200056	200060	200056	200056	200056
200056	200056	205868	200056	200056	200056
200056	200056	200056	200052	200056	200056
200060	200052	200056	200056	200052	200052
200060	200056	200056	200056	200056	200056
200056	200056	200060	200056	200056	200056
200060	200056	200060	200052	200056	200056
200056	200052	200056	200060	200052	200052
200056	200056	200060	200052	200056	200056
200060	200056	200056	205952	200056	200056
200060	200056	200056	200052	200056	200056
200056	210532	200060	200056	200052	200052
200060	200064	200060	200056	200056	200064
